timestamp,interface,protocol,src_mac,dst_mac,src_ip,dst_ip,size,summary
2026-04-14T15:27:33.308,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,162.247.243.29,172.26.22.44,477,TCP 443 -> 47574 flags=PA
2026-04-14T15:27:33.308,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,162.247.243.29,66,TCP 47574 -> 443 flags=A
2026-04-14T15:27:33.406,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,184,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:33.406,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:33.406,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2542,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:33.408,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.182.143.210,2234,TCP 37732 -> 443 flags=PA
2026-04-14T15:27:33.483,wlp60s0,TCP,a4:6b:b6:3e:c7:5e,d4:7f:35:16:e2:9f,172.26.22.44,52.58.20.192,112,TCP 59836 -> 443 flags=PA
2026-04-14T15:27:33.526,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:33.526,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
2026-04-14T15:27:33.526,wlp60s0,TCP,d4:7f:35:16:e2:9f,a4:6b:b6:3e:c7:5e,52.182.143.210,172.26.22.44,66,TCP 443 -> 37732 flags=A
